BGM_NO,LOOP_BEGIN,LOOP_END
02,241641,5445993
03,0,6380308
04,183481,7055056
05,281184,4889184
06,246857,3785143
07,267902,6195051
08,0,7347769
09,261818,6687891
10,0,6171438
11,224376,7873447
12,575610,6046659
13,175410,5253956
14,362391,5150980
15,300279,5401002
16,138033,4881562
17,151175,4907820
18,380458,6202394
19,194347,5090347
20,186536,4978856
21,198000,5190000
22,384000,5088000
23,288000,5376000
24,619200,4996800
25,312506,6610106
26,235015,5091847
27,145573,5055737
42,444255,15520772
45,444255,15520772
215,1179760,
301,377981,4157968
